Unnamed: 0,replicate,sample_size,Ne,length,recombination_rate,mutation_rate,error_param,edges,n_trees,n_sites,seed,fastARG_completed,tsinfer_completed,tsinfer_memory,tsinfer_max_polytomy,tsinfer_mean_polytomy,tsinfer_ts_filesize,tsinfer_cputime,tsinfer_var_polytomy,tsinfer_edges,fastARG_memory,fastARG_cputime,fastARG_edges,fastARG_ts_filesize
79,1,20000,5000,5000000,1e-08,1e-08,0,77268,9875,10594,1540422653,False,True,335790080.0,1015.0,6.629767561320149,3068836.0,851.77,173.9804314728761,51626.0,,,,
80,2,10,5000,5000000,1e-08,1e-08,0,6979,2229,2969,1448948558,True,False,,,,,,,,2260992.0,0.16,2350.0,215396.0
81,2,1062,5000,5000000,1e-08,1e-08,0,27117,6757,7429,1365209905,True,False,,,,,,,,80683008.0,61.21,30274.0,1507556.0
82,2,2114,5000,5000000,1e-08,1e-08,0,32259,7529,8300,441191663,True,True,119668736.0,949.0,5.091478696741855,1317716.0,86.66,196.6244637282429,24378.0,208007168.0,204.07,36635.0,1825204.0
83,2,3166,5000,5000000,1e-08,1e-08,0,36308,8003,8832,1284758845,True,False,,,,,,,,498294784.0,565.76,43612.0,2151188.0
84,2,4218,5000,5000000,1e-08,1e-08,0,38796,8106,8653,1148006791,False,True,136048640.0,924.0,5.302390735898394,1557948.0,155.10999999999999,169.72346458695938,28389.0,,,,
85,2,5270,5000,5000000,1e-08,1e-08,0,42377,8492,9322,1618455632,True,True,156241920.0,927.0,5.285421295505042,1719884.0,203.81,157.83102827491143,30925.0,1098256384.0,1802.04,51018.0,2530364.0
86,2,6322,5000,5000000,1e-08,1e-08,0,45031,8626,9235,856698781,True,False,,,,,,,,1586753536.0,2517.4900000000002,54965.0,2715356.0
87,2,7374,5000,5000000,1e-08,1e-08,0,48030,8828,9393,1445760780,True,True,165675008.0,944.0,5.452142060837713,1923028.0,289.42,155.03700727652202,34234.0,2014150656.0,3417.01,58907.0,2911828.0
88,2,8426,5000,5000000,1e-08,1e-08,0,50710,8980,9371,1478686761,False,True,179335168.0,968.0,5.63049341583373,2004972.0,302.4,164.631511846022,35489.0,,,,
89,2,9478,5000,5000000,1e-08,1e-08,0,52677,8957,9688,479348526,False,True,190148608.0,1080.0,5.62605548854041,2125932.0,347.26,192.26909191971953,37312.0,,,,
90,2,10000,5000,500000,1e-08,1e-08,0,23507,938,997,193094717,True,True,93241344.0,267.0,12.453111305872042,928116.0,19.55,510.0549881287153,14209.0,2747383808.0,824.88,24261.0,1329268.0
91,2,10000,5000,1000000,1e-08,1e-08,0,27017,1879,1990,1130640315,True,True,109318144.0,227.0,9.942772861356932,1065740.0,45.61,258.4775510133048,16853.0,2868019200.0,1588.82,28430.0,1530252.0
92,2,10000,5000,1500000,1e-08,1e-08,0,30080,2660,2803,716604051,True,False,,,,,,,,3254603776.0,2186.1499999999996,32382.0,1714956.0
93,2,10000,5000,2000000,1e-08,1e-08,0,34152,3740,3986,978811451,False,True,127909888.0,398.0,7.020947470190139,1337220.0,114.46000000000001,104.40658666272563,21786.0,,,,
94,2,10000,5000,2500000,1e-08,1e-08,0,36818,4442,4747,1471324669,True,True,136798208.0,437.0,6.830247792651666,1447700.0,135.37,101.99624827240683,23981.0,3350011904.0,3319.2200000000003,42059.0,2167004.0
95,2,10000,5000,3000000,1e-08,1e-08,0,39600,5233,5883,1281837476,True,False,,,,,,,,3431862272.0,3778.33,45873.0,2360044.0
96,2,10000,5000,3500000,1e-08,1e-08,0,44041,6355,6673,2055577170,True,True,154537984.0,688.0,6.186758276077452,1739244.0,227.48999999999998,125.61346613082625,29715.0,3339091968.0,4528.620000000001,52250.0,2637460.0
97,2,10000,5000,4000000,1e-08,1e-08,0,47472,7278,7737,668714160,False,True,172167168.0,809.0,5.921957431326178,1889276.0,285.68,142.6737347167617,32553.0,,,,
98,2,10000,5000,4500000,1e-08,1e-08,0,52101,8477,8985,1685047406,False,True,192745472.0,861.0,5.793916228698837,2080412.0,318.62,138.68630794711518,36380.0,,,,
99,2,10000,5000,5000000,1e-08,1e-08,0,54666,9223,9815,811568269,True,True,196800512.0,983.0,5.702193892677142,2191596.0,391.24,162.2212729810834,38467.0,3658579968.0,6623.59,65576.0,3276860.0
100,2,10000,5000,5500000,1e-08,1e-08,0,58068,10127,11088,342825594,True,True,215040000.0,1107.0,5.626693766937669,2355588.0,452.44,182.13015465147876,41525.0,3703848960.0,7392.860000000001,70385.0,3513428.0
101,2,10000,5000,6000000,1e-08,1e-08,0,62329,11221,11823,910714040,True,True,231526400.0,1199.0,5.613644836585062,2517740.0,487.15999999999997,194.13518352142944,45173.0,3734622208.0,9223.81,75980.0,3759340.0
102,2,10000,5000,6500000,1e-08,1e-08,0,64862,11929,12910,1942599713,True,False,,,,,,,,2227367936.0,8230.1,78867.0,3910876.0
103,2,10000,5000,7000000,1e-08,1e-08,0,67027,12474,13495,942413534,False,True,251359232.0,1401.0,5.458945739860758,2743852.0,595.4,230.21582476984838,49398.0,,,,
104,2,10000,5000,7500000,1e-08,1e-08,0,71382,13643,14695,53126108,True,True,274112512.0,1488.0,5.398131033066338,2909804.0,715.38,239.24475723811884,52567.0,3858214912.0,10028.34,87076.0,4301612.0
105,2,10000,5000,8000000,1e-08,1e-08,0,74699,14524,15693,1469300880,False,False,,,,,,,,,,,
106,2,10000,5000,8500000,1e-08,1e-08,0,79411,15773,16743,1103091771,True,False,,,,,,,,4059783168.0,10790.38,98543.0,4824460.0
107,2,10000,5000,9000000,1e-08,1e-08,0,80879,16224,17527,537668783,False,True,304840704.0,1812.0,5.343568537744149,3323532.0,966.57,300.45692106810736,60735.0,,,,
108,2,10000,5000,9500000,1e-08,1e-08,0,85918,17448,18670,790085078,True,True,337698816.0,1891.0,5.4010499125072915,3515148.0,840.7299999999999,309.5519329031833,64818.0,4135014400.0,11375.63,107897.0,5262812.0
109,2,10000,5000,10000000,1e-08,1e-08,0,88842,18274,19573,793259047,True,False,,,,,,,,4134178816.0,13019.88,113161.0,5501540.0
110,2,10531,5000,5000000,1e-08,1e-08,0,54730,8913,9635,288248218,False,True,202166272.0,915.0,5.743946188340807,2203028.0,405.63000000000005,144.6858564754301,38427.0,,,,
111,2,11583,5000,5000000,1e-08,1e-08,0,58669,9410,10061,132427561,True,True,214736896.0,950.0,5.831454260025689,2347636.0,482.8,150.63878228644074,40861.0,5582217216.0,9955.56,70903.0,3546324.0
112,2,12635,5000,5000000,1e-08,1e-08,0,59713,9134,9819,1196105796,True,False,,,,,,,,6140088320.0,10483.07,71249.0,3587804.0
113,2,13687,5000,5000000,1e-08,1e-08,0,62638,9337,9844,2113221290,True,True,238272512.0,958.0,6.138243626062323,2503580.0,482.76,156.42706433724692,43336.0,6688616448.0,14424.480000000001,75649.0,3795060.0
114,2,14739,5000,5000000,1e-08,1e-08,0,65218,9436,10162,1835977248,True,False,,,,,,,,7380623360.0,16362.06,77123.0,3901244.0
115,2,15791,5000,5000000,1e-08,1e-08,0,67391,9486,10203,1109213895,False,False,,,,,,,,,,,
116,2,16843,5000,5000000,1e-08,1e-08,0,70447,9734,10545,2010025670,True,True,295587840.0,985.0,6.2864801255230125,2823772.0,686.7,160.89321679458408,48079.0,7966130176.0,22178.6,84094.0,4260052.0
117,2,17895,5000,5000000,1e-08,1e-08,0,72721,9756,10461,2062516208,True,True,305340416.0,1006.0,6.332944681953621,2889924.0,708.6899999999999,165.85287370998563,48884.0,12017012736.0,24984.67,86894.0,4399892.0
118,2,18947,5000,5000000,1e-08,1e-08,0,74429,9628,10333,1476671983,False,True,288141312.0,967.0,6.536679536679537,2989108.0,715.6400000000001,157.95779232072667,50790.0,,,,
119,2,20000,5000,5000000,1e-08,1e-08,0,77149,9844,10706,648627466,False,True,335634432.0,996.0,6.611506223012446,3089268.0,813.9499999999999,166.60104108917895,52059.0,,,,
120,3,10,5000,5000000,1e-08,1e-08,0,6961,2244,2808,2096657563,True,True,62910464.0,367.0,4.395522388059701,229196.0,1.6600000000000001,205.40027845845398,2945.0,2187264.0,0.14,2218.0,203572.0
121,3,1062,5000,5000000,1e-08,1e-08,0,27606,6913,7759,356559257,True,True,99479552.0,976.0,5.028217481073641,1164980.0,48.0,225.5020714039523,21918.0,69988352.0,53.61,30895.0,1544044.0
122,3,2114,5000,5000000,1e-08,1e-08,0,31957,7444,7975,1480729687,True,True,118407168.0,939.0,5.197127937336814,1284356.0,83.64,200.7953442316738,23886.0,242380800.0,209.05,36870.0,1820524.0
123,3,3166,5000,5000000,1e-08,1e-08,0,35631,7884,8435,595205585,True,False,,,,,,,,492572672.0,449.85,42024.0,2074844.0
124,3,4218,5000,5000000,1e-08,1e-08,0,39602,8326,8966,114007117,True,True,143036416.0,907.0,5.256969263759829,1609188.0,163.87,158.20809117203598,29418.0,825552896.0,1031.66,48085.0,2366028.0
125,3,5270,5000,5000000,1e-08,1e-08,0,42737,8574,9007,1445109858,False,True,148578304.0,934.0,5.386198547215496,1712580.0,201.01,162.73203366379587,31143.0,,,,
126,3,6322,5000,5000000,1e-08,1e-08,0,45028,8647,9077,2066335760,False,False,,,,,,,,,,,
127,3,7374,5000,5000000,1e-08,1e-08,0,48387,8913,9557,527185935,False,True,165847040.0,930.0,5.4871956009426555,1953788.0,291.16,150.30482426417544,34926.0,,,,
128,3,8426,5000,5000000,1e-08,1e-08,0,50099,8812,9618,939199308,True,True,179191808.0,1013.0,5.537935323383085,2022124.0,359.08,174.43046389631448,35620.0,2971402240.0,4700.5599999999995,60379.0,3012988.0
129,3,9478,5000,5000000,1e-08,1e-08,0,53018,9073,9735,2038081586,False,True,191180800.0,1001.0,5.693235608489846,2124980.0,380.77,170.75258975988027,37285.0,,,,
