Unnamed: 0,Unnamed: 0.1,replicate,sample_size,Ne,length,recombination_rate,mutation_rate,error_param,edges,n_trees,n_sites,seed,ts_filesize,vcf_filesize,vcfgz_filesize,tsinfer_completed,tsinfer_cputime,tsinfer_var_polytomy,tsinfer_edges,tsinfer_memory,tsinfer_max_polytomy,tsinfer_mean_polytomy,tsinfer_ts_filesize,internal_nodes,internal_nodes_with_mutations
83,83,0,50000,5000,85000000,2e-08,1e-08,0,1487433,364348,194186,132976241,63070300,19424444644,537428454,True,175833.66,4742.696577207014,984193.0,13140594688.0,26358.0,6.692049310187736,44797444.0,287038,84353
84,84,0,50000,5000,90000000,2e-08,1e-08,0,1564023,384512,204766,1571704117,66218876,20482752200,567186350,True,187008.73,4919.6367364851485,1039829.0,13996175360.0,27604.0,6.687820376766293,47202876.0,299357,88599
85,85,0,50000,5000,95000000,2e-08,1e-08,0,1647924,406399,216850,1409280518,69687564,21691502909,599170529,True,215357.04,5336.979985159959,1096277.0,14934372352.0,29499.0,6.700222469410456,49687860.0,312885,93374
86,86,0,50000,5000,100000000,2e-08,1e-08,0,1736446,429791,229039,613877172,73339452,22910755701,632278501,True,225262.49,5505.5387319544725,1156735.0,15947206656.0,30772.0,6.7030677761809825,52324860.0,327719,98313
87,87,0,55000,5000,50000000,5e-09,1e-08,0,316183,54254,114969,1316869889,18055988,12650162220,345209779,True,69257.36,723.1918000876415,291484.0,7273140224.0,6537.0,4.866583187244344,17569884.0,93535,30641
88,88,0,55000,5000,50000000,1e-08,1e-08,0,520284,107733,114162,1727042129,25412764,12561369581,340919538,True,69719.36,1394.6208116819794,419898.0,7596064768.0,10249.0,5.5258461862399315,22033076.0,129211,39998
89,89,0,55000,5000,50000000,2e-08,1e-08,0,930519,215272,114834,604673986,40239740,12635308603,344780734,True,81305.7,2610.192769717395,609030.0,7722680320.0,15372.0,6.674301369863014,28478468.0,198957,52175
90,90,0,60000,5000,50000000,5e-09,1e-08,0,330276,55205,117154,1323776935,18849852,14062140978,379618750,True,80386.34000000001,746.8158149868888,302776.0,8005591040.0,6757.0,4.884980881237799,18268692.0,99363,31702
91,91,0,60000,5000,50000000,1e-08,1e-08,0,534673,108894,115603,867917738,26191308,13875975890,380353260,True,76364.77,1430.8518436850861,427189.0,8199671808.0,10422.0,5.576297514619883,22538916.0,135183,40399
92,92,0,60000,5000,50000000,2e-08,1e-08,0,950365,217484,115967,1621749006,41192956,13919666418,372797164,True,89982.8,2555.79239972248,619127.0,8422043648.0,15327.0,6.68084210980663,29081020.0,205420,53016
93,93,0,65000,5000,50000000,5e-09,1e-08,0,336404,54259,115331,413100871,19204156,14996663468,405080983,True,81209.22,736.9591265320528,302835.0,8308305920.0,6666.0,4.9474759026302895,18379156.0,103842,31597
94,94,0,65000,5000,50000000,1e-08,1e-08,0,546639,109576,115987,942118229,26843932,15081961825,408112663,True,86894.97,1367.3541686636356,432788.0,8756301824.0,10226.0,5.603231528114035,22948580.0,140813,40886
95,95,0,65000,5000,50000000,2e-08,1e-08,0,961004,217821,115607,1051453534,41786428,15032550425,407736732,True,97489.68,2577.8534240311387,625881.0,8930185216.0,15439.0,6.7122924799450905,29496476.0,211533,52820
96,96,0,70000,5000,50000000,5e-09,1e-08,0,350672,55348,117488,1631696659,20001316,16452040166,439087708,True,86881.64,704.0612154612634,313804.0,9050861568.0,6614.0,4.970207643695455,19062676.0,109618,32637
97,97,0,70000,5000,50000000,1e-08,1e-08,0,565060,111347,118868,165798952,27816052,16645280311,444301708,True,94534.63,1384.776219233197,447337.0,9646985216.0,10456.0,5.610085530111114,23789372.0,147196,42210
98,98,0,70000,5000,50000000,2e-08,1e-08,0,982839,220723,117128,263541056,42828708,16401630213,435603904,True,103761.49,2527.589896076605,642545.0,9708683264.0,15440.0,6.752330310322722,30336532.0,218439,53879
99,99,0,75000,5000,50000000,5e-09,1e-08,0,360399,55236,117443,1640504192,20554540,17620194051,467326989,True,97342.06,688.6893205400205,317482.0,9550012416.0,6541.0,5.018922806962077,19381460.0,114770,33012
100,100,0,75000,5000,50000000,1e-08,1e-08,0,572638,110732,117886,1905147405,28262748,17686656867,460403167,True,93903.82,1287.6128507656995,454518.0,10153332736.0,10111.0,5.660742530482109,24193196.0,152259,42452
101,101,0,75000,5000,50000000,2e-08,1e-08,0,998737,222382,117297,476754817,43617284,17598289960,463062332,True,118353.71,2508.227741305049,646745.0,10304176128.0,15424.0,6.755857559202348,30691436.0,224831,54461
102,102,0,80000,5000,50000000,5e-09,1e-08,0,371424,55341,117862,1389695619,21166684,18861700649,480128642,True,98298.28,685.7025521258529,325316.0,10015096832.0,6571.0,5.067227414330218,19871532.0,119913,33308
103,103,0,80000,5000,50000000,1e-08,1e-08,0,590047,112800,118643,687209714,29120876,18986683550,503075507,True,107220.79,1366.84991520524,460598.0,10606452736.0,10446.0,5.706261304789512,24628228.0,158603,42784
104,104,0,80000,5000,50000000,2e-08,1e-08,0,1013036,223473,118920,338142864,44395620,19031011377,498057360,True,120637.38,2436.710434448449,661001.0,10951229440.0,15355.0,6.764996059728378,31460004.0,230628,55058
105,105,0,85000,5000,50000000,5e-09,1e-08,0,383011,55869,119091,558402106,21837052,20249311223,526869339,True,111339.03,723.5590213067459,332215.0,10705735680.0,6815.0,5.081915804931775,20369604.0,125449,34171
106,106,0,85000,5000,50000000,1e-08,1e-08,0,598934,112401,119061,1332904594,29658916,20244210146,524272010,True,111145.01,1302.8489560720045,467310.0,11250995200.0,10261.0,5.7135346619391125,25085460.0,163511,43175
