,EAS,EUR,AFR,AMR,SAS,left,right
56956,0.0,0.0,0.9787234042553191,0.02127659574468085,0.0,5884593.0,5884626.0
57169,0.0,0.0,0.9782608695652174,0.021739130434782608,0.0,5905636.0,5905941.0
57170,0.0,0.0,0.9777777777777779,0.022222222222222223,0.0,5905941.0,5905963.0
57175,0.0,0.021739130434782608,0.9565217391304348,0.021739130434782608,0.0,5906092.0,5906098.0
57195,0.0,0.0,0.9777777777777779,0.022222222222222223,0.0,5908024.0,5908104.0
57202,0.21372031662269128,0.29287598944591026,0.03430079155672823,0.14511873350923482,0.31398416886543534,5908478.0,5908502.0
57203,0.2131578947368421,0.29473684210526313,0.034210526315789476,0.14473684210526316,0.3131578947368421,5908502.0,5908560.0
57204,0.21428571428571427,0.2962962962962963,0.0291005291005291,0.1455026455026455,0.31481481481481477,5908560.0,5908726.0
57212,0.21485411140583555,0.29708222811671087,0.02652519893899204,0.14588859416445624,0.3156498673740053,5909236.0,5909341.0
57214,0.21428571428571427,0.29894179894179895,0.026455026455026454,0.1455026455026455,0.31481481481481477,5909469.0,5909565.0
57216,0.21635883905013192,0.29815303430079154,0.02638522427440633,0.14511873350923482,0.31398416886543534,5909582.0,5909617.0
57227,0.21693121693121692,0.29894179894179895,0.026455026455026454,0.1455026455026455,0.31216931216931215,5910185.0,5910207.0
57231,0.23579545454545456,0.2755681818181818,0.02840909090909091,0.13068181818181818,0.32954545454545453,5910582.0,5910696.0
57234,0.23989898989898992,0.29040404040404044,0.020202020202020204,0.1388888888888889,0.3106060606060606,5910841.0,5910981.0
