,Ne,length,sample_size,recombination_rate,mutation_rate,tool,edge_ratio_mean,edge_ratio_se
102,5000,80000000,50000,5e-09,1e-08,tsinfer,1.2241543793576302,0.0009780964052055114
103,5000,80000000,50000,1e-08,1e-08,tsinfer,0.9536413275529714,0.0007356737393808115
104,5000,80000000,50000,2e-08,1e-08,tsinfer,0.729694234555343,0.00044512026403007853
105,5000,85000000,50000,5e-09,1e-08,tsinfer,1.2308686003829623,0.001274136241263862
106,5000,85000000,50000,1e-08,1e-08,tsinfer,0.9571708751060406,0.0009034041669817857
107,5000,85000000,50000,2e-08,1e-08,tsinfer,0.7281357994084608,0.0007126062461832294
108,5000,90000000,50000,5e-09,1e-08,tsinfer,1.2369888979528298,0.001210549251472602
109,5000,90000000,50000,1e-08,1e-08,tsinfer,0.9564467788730404,0.0010153790075705315
110,5000,90000000,50000,2e-08,1e-08,tsinfer,0.728090529313445,0.0005133406600760528
111,5000,95000000,50000,5e-09,1e-08,tsinfer,1.2435971445467306,0.0013090643636739989
112,5000,95000000,50000,1e-08,1e-08,tsinfer,0.9581031627602112,0.0008908855953408311
113,5000,95000000,50000,2e-08,1e-08,tsinfer,0.7256616908522714,0.0004068569669852696
