,Ne,length,sample_size,recombination_rate,mutation_rate,error_param,subsample_size,restrict_sample_size_comparison,tool,averaging,polytomies,rooting,metric,treedist_mean,treedist_se
284,5000,5000000,1000,1e-08,1e-08,0,12,6,tsinfer,per variant,broken,unrooted,SPR,0.6256725594088782,0.007264702224194874
285,5000,5000000,1000,1e-08,1e-08,0,12,6,tsinfer,per variant,broken,unrooted,path,2.0381687029978837,0.023919439984123696
287,5000,5000000,1000,1e-08,1e-08,0,12,6,tsinfer,per variant,retained,rooted,KC,2.25070691296364,0.015890455821737204
291,5000,5000000,1000,1e-08,1e-08,0,12,6,tsinfer,per variant,retained,unrooted,SPR,0.5613781668113971,0.007040750159921556
292,5000,5000000,1000,1e-08,1e-08,0,12,6,tsinfer,per variant,retained,unrooted,path,2.1582464978770606,0.02512899171998767
294,5000,5000000,1000,1e-08,1e-08,0,50,6,tsinfer,per variant,broken,rooted,KC,2.2788709232122777,0.01592455069745328
295,5000,5000000,1000,1e-08,1e-08,0,50,6,tsinfer,per variant,broken,rooted,RF,2.4334610236476646,0.0241738127023795
297,5000,5000000,1000,1e-08,1e-08,0,50,6,tsinfer,per variant,broken,unrooted,RF,1.6313865182954896,0.02100993658377818
298,5000,5000000,1000,1e-08,1e-08,0,50,6,tsinfer,per variant,broken,unrooted,SPR,0.615719125286219,0.006968943266289265
299,5000,5000000,1000,1e-08,1e-08,0,50,6,tsinfer,per variant,broken,unrooted,path,2.011951768718903,0.023115332503893637
301,5000,5000000,1000,1e-08,1e-08,0,50,6,tsinfer,per variant,retained,rooted,KC,2.235279626185558,0.01504139621618725
305,5000,5000000,1000,1e-08,1e-08,0,50,6,tsinfer,per variant,retained,unrooted,SPR,0.5497525454952775,0.007086245896527861
306,5000,5000000,1000,1e-08,1e-08,0,50,6,tsinfer,per variant,retained,unrooted,path,2.1359975891194964,0.024176927578498843
308,5000,5000000,1000,1e-08,1e-08,0,100,6,tsinfer,per variant,broken,rooted,KC,2.265628997176973,0.016214264692811658
309,5000,5000000,1000,1e-08,1e-08,0,100,6,tsinfer,per variant,broken,rooted,RF,2.4138573379772166,0.023900275776972076
311,5000,5000000,1000,1e-08,1e-08,0,100,6,tsinfer,per variant,broken,unrooted,RF,1.6179148098431952,0.020466416346824924
312,5000,5000000,1000,1e-08,1e-08,0,100,6,tsinfer,per variant,broken,unrooted,SPR,0.611375768485957,0.006677461220700546
313,5000,5000000,1000,1e-08,1e-08,0,100,6,tsinfer,per variant,broken,unrooted,path,1.9954219350092475,0.02245958973766083
315,5000,5000000,1000,1e-08,1e-08,0,100,6,tsinfer,per variant,retained,rooted,KC,2.2224825247702515,0.015298617212048022
319,5000,5000000,1000,1e-08,1e-08,0,100,6,tsinfer,per variant,retained,unrooted,SPR,0.5460010730450804,0.006935389988429315
320,5000,5000000,1000,1e-08,1e-08,0,100,6,tsinfer,per variant,retained,unrooted,path,2.119236604517124,0.02336805605104122
322,5000,5000000,1000,1e-08,1e-08,0,500,6,tsinfer,per variant,broken,rooted,KC,2.250491666061615,0.015641889176212783
323,5000,5000000,1000,1e-08,1e-08,0,500,6,tsinfer,per variant,broken,rooted,RF,2.389624930207712,0.02397844829487073
325,5000,5000000,1000,1e-08,1e-08,0,500,6,tsinfer,per variant,broken,unrooted,RF,1.5974031719947772,0.02120753459328819
