,Ne,length,sample_size,recombination_rate,mutation_rate,error_param,tool,averaging,polytomies,rooting,metric,treedist_mean,treedist_se
203,Gutenkunst.out.of.africa,100000,16,1e-08,1.3228756555322952e-07,0,ARGweaver,per site,retained,unrooted,path,8.222261408357477,0.19066816734151765
205,Gutenkunst.out.of.africa,100000,16,1e-08,1.3228756555322952e-07,0,RentPlus,per site,retained,rooted,KC,7.489879810725296,0.12856987526011127
206,Gutenkunst.out.of.africa,100000,16,1e-08,1.3228756555322952e-07,0,RentPlus,per site,retained,rooted,RF,5.1124044,0.1311720507423973
207,Gutenkunst.out.of.africa,100000,16,1e-08,1.3228756555322952e-07,0,RentPlus,per site,retained,unrooted,RF,4.2140084,0.12886562285055317
208,Gutenkunst.out.of.africa,100000,16,1e-08,1.3228756555322952e-07,0,RentPlus,per site,retained,unrooted,SPR,1.5349534000000002,0.04175101189488547
209,Gutenkunst.out.of.africa,100000,16,1e-08,1.3228756555322952e-07,0,RentPlus,per site,retained,unrooted,path,8.776553169817875,0.19109779257039247
210,Gutenkunst.out.of.africa,100000,16,1e-08,1.3228756555322952e-07,0,fastARG,per site,retained,rooted,KC,13.21293250745498,0.20034520612867052
211,Gutenkunst.out.of.africa,100000,16,1e-08,1.3228756555322952e-07,0,fastARG,per site,retained,rooted,RF,8.169678987053363,0.1661673724559975
213,Gutenkunst.out.of.africa,100000,16,1e-08,1.3228756555322952e-07,0,fastARG,per site,retained,unrooted,RF,5.697495289878478,0.160620964436447
214,Gutenkunst.out.of.africa,100000,16,1e-08,1.3228756555322952e-07,0,fastARG,per site,retained,unrooted,SPR,1.915688859052341,0.04596997995589966
215,Gutenkunst.out.of.africa,100000,16,1e-08,1.3228756555322952e-07,0,fastARG,per site,retained,unrooted,path,10.90489415852282,0.20810001053300456
217,Gutenkunst.out.of.africa,100000,16,1e-08,1.3228756555322952e-07,0,tsinfer,per site,broken,rooted,KC,6.324420037841162,0.1148567724604361
218,Gutenkunst.out.of.africa,100000,16,1e-08,1.3228756555322952e-07,0,tsinfer,per site,broken,rooted,RF,5.3432553034742405,0.13169262491988112
220,Gutenkunst.out.of.africa,100000,16,1e-08,1.3228756555322952e-07,0,tsinfer,per site,broken,unrooted,RF,4.968113316373623,0.1313701218409602
221,Gutenkunst.out.of.africa,100000,16,1e-08,1.3228756555322952e-07,0,tsinfer,per site,broken,unrooted,SPR,1.7423076457052016,0.04102758072704965
222,Gutenkunst.out.of.africa,100000,16,1e-08,1.3228756555322952e-07,0,tsinfer,per site,broken,unrooted,path,9.695101184582287,0.1833989749009995
224,Gutenkunst.out.of.africa,100000,16,1e-08,1.3228756555322952e-07,0,tsinfer,per site,retained,rooted,KC,6.251575060745224,0.11641220131416226
228,Gutenkunst.out.of.africa,100000,16,1e-08,1.3228756555322952e-07,0,tsinfer,per site,retained,unrooted,SPR,1.52765293334232,0.04480043803862182
229,Gutenkunst.out.of.africa,100000,16,1e-08,1.3228756555322952e-07,0,tsinfer,per site,retained,unrooted,path,10.080004089928355,0.1880694724829518
231,Gutenkunst.out.of.africa,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,ARGweaver,per site,retained,rooted,KC,7.22191707357827,0.1407673649488575
232,Gutenkunst.out.of.africa,100000,16,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,ARGweaver,per site,retained,rooted,RF,5.746775480000001,0.15003394590447441
