Unnamed: 0,replicate,sample_size,Ne,length,recombination_rate,mutation_rate,error_rate,edges,n_trees,seed,fastARG_completed,tsinfer_completed,fastARG_memory,fastARG_cputime,fastARG_edges,fastARG_ts_filesize,tsinfer_mean_polytomy,tsinfer_var_polytomy,tsinfer_ts_filesize,tsinfer_memory,tsinfer_max_polytomy,tsinfer_edges,tsinfer_cputime
56,1,10000,5000,3500000,2.5e-08,2.5e-08,0,78342,15456,176127709,True,True,3446157312.0,8400.49,97189.0,3080150.0,6.326606184039992,2210.165685371477,2143900.0,1109917696.0,4843.0,68340.0,540.85
57,1,10000,5000,4000000,2.5e-08,2.5e-08,0,88262,18063,872754006,True,True,4181438464.0,9819.97,110429.0,3495859.0,6.2648072453314105,2610.5923761209765,2436721.0,1495908352.0,5670.0,78166.0,670.39
58,1,10000,5000,4500000,2.5e-08,2.5e-08,0,95643,19990,846651357,True,True,3847380992.0,10398.349999999999,121904.0,3835629.0,6.241904761904763,3051.053569998256,2643655.0,1577570304.0,6419.0,85202.0,707.76
59,1,10000,5000,5000000,2.5e-08,2.5e-08,0,107348,23096,370254826,True,True,4404994048.0,11803.400000000001,135396.0,4291967.0,6.181214606522166,3388.166861845697,2945650.0,1940586496.0,7183.0,94962.0,921.58
60,1,10000,5000,5500000,2.5e-08,2.5e-08,0,114772,25089,1952368865,True,True,4490182656.0,15925.03,145951.0,4613346.0,6.077927573907262,3684.2869567352177,3132921.0,2048389120.0,7775.0,100535.0,975.0
61,1,10000,5000,6000000,2.5e-08,2.5e-08,0,123728,27528,1493571069,True,True,4617318400.0,17605.68,157963.0,4983636.0,6.114340108628702,3890.11806470117,3393006.0,2516500480.0,8303.0,109196.0,1082.71
62,1,10000,5000,6500000,2.5e-08,2.5e-08,0,131871,29670,110815175,True,True,4693225472.0,16329.95,170043.0,5356124.0,6.0498547416476445,4461.755088690252,3623628.0,2665955328.0,9243.0,116617.0,1212.11
63,1,10000,5000,7000000,2.5e-08,2.5e-08,0,139298,31577,192086521,True,True,4646289408.0,15078.460000000001,181525.0,5712326.0,6.080561968855924,4586.0227871676125,3848367.0,2785157120.0,9631.0,123782.0,1441.22
64,1,10000,5000,7500000,2.5e-08,2.5e-08,0,147528,33778,593121748,True,True,5101031424.0,18583.23,191347.0,6059802.0,6.004226504271951,5196.013297897431,4141315.0,3228889088.0,10665.0,132117.0,1362.08
65,1,10000,5000,8000000,2.5e-08,2.5e-08,0,155580,35938,1295907009,True,True,5208870912.0,17307.11,202355.0,6400240.0,5.997359421670057,5505.417290979815,4366229.0,3781238784.0,11250.0,138545.0,1660.29
66,1,10000,5000,8500000,2.5e-08,2.5e-08,0,167392,39049,1446971885,True,True,5196705792.0,19613.91,217254.0,6863552.0,6.071844107237297,5901.64033698005,4692888.0,3983396864.0,12016.0,149252.0,1815.3600000000001
67,1,10000,5000,9000000,2.5e-08,2.5e-08,0,174904,40925,156476042,True,True,5305348096.0,22617.87,230177.0,7299518.0,5.920284135753749,6234.290973151873,4959925.0,4219052032.0,12852.0,157521.0,2007.29
68,1,10000,5000,9500000,2.5e-08,2.5e-08,0,182716,43100,854711162,True,True,5510516736.0,29211.68,241085.0,7617360.0,6.016220987972193,6511.334823501832,5132054.0,4705828864.0,13279.0,163563.0,2107.34
69,1,10000,5000,10000000,2.5e-08,2.5e-08,0,192864,45774,168264893,True,True,5669457920.0,25188.32,253209.0,8000106.0,5.963976240391336,7032.610477271273,5365802.0,5330288640.0,14161.0,170689.0,2119.34
70,1,10531,5000,5000000,2.5e-08,2.5e-08,0,107527,22860,461351888,True,True,3148193792.0,14290.94,137112.0,4342813.0,6.12544363425179,3218.925865494936,2949408.0,1966264320.0,7026.0,94926.0,932.77
71,1,11583,5000,5000000,2.5e-08,2.5e-08,0,111188,23293,298856313,True,True,5213351936.0,21509.79,142990.0,4521629.0,6.203249462637499,3350.5803232379326,3043719.0,2046636032.0,7244.0,98123.0,1037.18
72,1,12635,5000,5000000,2.5e-08,2.5e-08,0,112990,23168,1720966851,True,True,7117783040.0,28651.69,145068.0,4590545.0,6.346441359381871,3289.7038994850814,3123174.0,2100424704.0,7199.0,101029.0,1152.48
73,1,13687,5000,5000000,2.5e-08,2.5e-08,0,116628,23563,131357259,True,True,7515430912.0,31979.73,150270.0,4758383.0,6.2663917279301895,3295.450104122205,3256108.0,2205536256.0,7386.0,104843.0,1192.5200000000002
74,1,14739,5000,5000000,2.5e-08,2.5e-08,0,118516,23532,886152833,True,True,8536121344.0,34687.39,152110.0,4812102.0,6.42842480227012,3204.4901224176233,3295335.0,2233090048.0,7243.0,106474.0,1149.4
75,1,15791,5000,5000000,2.5e-08,2.5e-08,0,121474,23724,1090046110,True,True,5652103168.0,32922.77,153025.0,4841153.0,6.553967771359075,3226.851526518877,3328341.0,2260623360.0,7238.0,107780.0,1645.31
76,1,16843,5000,5000000,2.5e-08,2.5e-08,0,126359,24475,665660989,True,True,12365684736.0,38417.15,162926.0,5167370.0,6.572132382774012,3261.219004303579,3515324.0,2599751680.0,7451.0,113389.0,1479.17
77,1,17895,5000,5000000,2.5e-08,2.5e-08,0,128170,24411,1638250953,True,True,13411295232.0,43244.98,162897.0,5175684.0,6.576172995296547,3148.530993590813,3553673.0,2673655808.0,7354.0,114649.0,1756.37
78,1,18947,5000,5000000,2.5e-08,2.5e-08,0,130735,24429,1221995307,True,True,14330433536.0,69615.69,166052.0,5277887.0,6.579254275301372,3120.134383183733,3633710.0,2764926976.0,7404.0,117341.0,1589.02
79,1,20000,5000,5000000,2.5e-08,2.5e-08,0,131250,24026,1540422653,True,True,15147061248.0,52386.26,167082.0,5316302.0,6.721116436425147,3147.9393652040912,3685705.0,2840309760.0,7416.0,119199.0,1826.88
